Gold_biosampple	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.3	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.14.6	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.15.1	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	metaSPAdes v. 3.15.0;NMDC version of IMG Annotation Pipeline v.5.0.25	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.3	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.14.6	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.15.1	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	metaSPAdes v. 3.15.0;NMDC version of IMG Annotation Pipeline v.5.0.25	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.2	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.3	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.14.6	MEGAHIT v. 1.0.6;IMG Annotation Pipeline v.4.15.1	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	metaSPAdes v. 3.15.0;NMDC version of IMG Annotation Pipeline v.5.0.25	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2
ID	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count
Gb0139038		6491			6565	5580	5298		471838			398328	340444	242238		1298007			1118885	1070020	676446
Gb0153641				7523	6993	5989					1001084	777189	664259					2816199	2180875	2105331	
Gb0150240			8811		8766	7415				1373695		1133760	994199				3400059		2790452	2711873	
Gb0153633				7992	7897						970536	773413						2722979	2173847		
Gb0150247			6718		6612	5686				1213404		1024875	880689				3331911		2798408	2706569	
Gb0139040	5117				5281	4506	4848	226716				217185	186466	164629	630584				628720	608116	458295
Gb0153645				7514	7185						871742	660096						2480684	1878622		
Gb0139008		6712			6919	5817	5296		225839			179218	151868	99225		652908			540248	509961	291181
Gb0153640				5780	5761						436387	360696						1257574	1080452		
Gb0150257			6128		6222					648483		573171					1782561		1596142		
Gb0153622				5915	5990	5135					456223	401812	342561					1332800	1194823	1156374	
Gb0150242			6152		6263	5377				723780		633111	542062				2026338		1794006	1743719	
Gb0139035		5526			5618	4799	5069		292786			262965	224361	186107		832591			779114	750608	531352
Gb0153634				6111	6076						545284	454074						1617700	1355079		
Gb0153642				5913	6026						537273	467902						1545359	1365957		
Gb0153624				6608	6573						1003530	849321						2859064	2455559		
Gb0153651				6171	6176						604540	494617						1742941	1472044		
Gb0139027		5525			5621	4844	5077		246669			235450	201414	167566		681996			674185	649711	460707
Gb0150243			7084		6861	5898				1296925		1027102	897062				3345237		2648691	2565333	
Gb0153620				6964	6852						1070524	881194						3084759	2560823		
Gb0139024		5459			5584	4812	4890		288500			266853	227037	167628		814420			768255	737139	472492
Gb0153616				6105	6130						582974	476393						1658616	1400408		
Gb0150245			6017		6011	5180				613964		535437	458912				1689847		1491585	1449733	
Gb0153613				7091	7044	6054					1008939	845429	727538					2816216	2374376	2294960	
Gb0153611				5797	5811	5034					482773	391335	335811					1337813	1131675	1096990	
Gb0153623				6134	6126	5279					578542	482518	413007					1619646	1397664	1351297	
Gb0153636				6038	6094						526440	414625						1594742	1288948		
Gb0139039	5047				5220	4448	4708	184721				174545	148551	122832	531279				512881	494518	351913
Gb0139022		5070			5177	4433	4585		189974			173673	148199	118463		544990			518056	499268	343240
Gb0139010	5116				5212	4477	4885	206526				201097	172970	155479	609994				610720	591823	454181
Gb0139009		5500			5886	5014	5051		289362			321625	273670	188546		814558			930264	893273	522376
Gb0153635				5947	5981						462785	363740						1340985	1087764		
Gb0150248			5800		5777	5017				498032		427871	366981				1397438		1215076	1180524	
Gb0139005		5206			5397	4595	4776		206951			208671	178605	147817		589329			599513	577072	410817
Gb0139011	5414				5593	4789	5009	251501				236729	202326	163473	720993				699893	674596	470306
Gb0153618				5603	5683						385858	336168						1114727	997382		
Gb0139028		5123			5577	4768	4368		250030			255743	217945	124559		680984			729229	698412	350618
Gb0139041	5391				5552	4769	4997	237508				226530	192896	152194	656367				648738	624493	424033
Gb0150260			5620		5668					452801		387949					1251033		1092628		
Gb0150244			6513		6492	5595				947468		793644	681833				2620073		2200439	2133978	
Gb0153630				5666	5686						359513	309572						1040560	916919		
Gb0139029		5318			5537	4731	5080		265941			271565	230326	200972		793272			813169	786159	584389
Gb0153629				6733	6700	5761					865860	726110	620168					2509890	2103691	2028016	
Gb0153653				5653	5660						360657	310211						1071729	945101		
Gb0150239			6131		6170	5304				704338		602999	515780				1957237		1706715	1656794	
Gb0150253			6361		6391	5471				910435		765408	654898				2534153		2141662	2075632	
Gb0153621				8227	8323	7044					1040064	797715	682552					2929577	2286139	2192583	
Gb0153627				5616	5582						395934	317303						1136694	946789		
Gb0153644				6108	6075						532754	424001						1467777	1220684		
Gb0153628				5715	5627						427001	345218						1191957	1012059		
Gb0153639				5931	5928	5088					501684	402258	344309					1416618	1173695	1136174	
Gb0153631				6492	6491	5580					724468	576187	492941					2024748	1655461	1595358	
Gb0150255			8694		8002					1284970		965561					3247892		2427606		
Gb0139033		5483			5664	4856			290357			276266	235934			813145			788812	759048	
Gb0153649				7057	7003						1091069	893508						3016862	2482878		
Gb0153617				7839	7817						1027444	858841						2924651	2459863		
Gb0139036		5306			5498	4693	4543		219749			189439	161324	111727		598037			533872	512167	312935
Gb0139012		7044			7196	6109	5672		185542			113441	98476	56929		521360			364401	338238	186193
Gb0153650				5883	5938						476010	397250						1358250	1151704		
Gb0139004		5504			5980	5047			203534			190485	161829			549821			560174	531613	
Gb0139023		5573			5687	4836	5146		287936			266998	228557	189874		800320			762519	735970	527400
Gb0150258			8960		8839					1343612		1100934					3741553		3166638		
Gb0139020		5170			5288	4504	4418		225920			192181	166258	114943		606534			532561	509607	312093
Gb0139026		5160			5323	4544	4785		200552			186220	160024	134770		558117			541955	522856	378259
Gb0150249			7766		7257	6264				1020030		834660	724752				2809323		2286515	2188713	
