Gold_biosampple	IMG Annotation Pipeline v.4.16.4	IMG Annotation Pipeline v.5.0.20	IMGAP Version: 5.2.0	IMG Annotation Pipeline v.4.16.4	IMG Annotation Pipeline v.5.0.20	IMGAP Version: 5.2.0	IMG Annotation Pipeline v.4.16.4	IMG Annotation Pipeline v.5.0.20	IMGAP Version: 5.2.0
ID	Unique_KO_count	Unique_KO_count	Unique_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_features_count	Total_features_count	Total_features_count
Gb0191651	6260	5544	6416	988830	1010812	1134248	2320640	2751993	2812844
Gb0191650	6333	5797	6707	786645	896707	1008780	1872565	2414716	2471687
Gb0191670	5982	5398	6268	572250	626612	699659	1325719	1664233	1701206
Gb0191665	6013	5391	6263	648133	699338	784745	1549209	1926701	1970840
Gb0191685	5920	5266	6123	811017	861415	967815	1946891	2376754	2420782
Gb0191659	6513	5751	6595	1135561	1141372	1281245	2737883	3183452	3256868
Gb0191687	6114	5422	6269	1015756	1050234	1176523	2419592	2899208	2955494
Gb0191661	6740	6026	6986	1068177	1077504	1209236	2519112	2867585	2933313
Gb0191656	6258	5620	6463	960354	1006723	1129386	2307235	2779738	2839597
Gb0191657	5996	5374	6181	795825	863256	967175	1889695	2381287	2433032
Gb0191644	6366	5728	6568	1118970	1184205	1334434	2696695	3341197	3411608
Gb0191684	5835	5190	6025	690423	760287	847377	1624571	2063283	2105137
Gb0191669	6562	5814	6670	1356654	1339295	1503368	3282088	3756924	3840961
Gb0191658	5853	5315	6172	509813	573710	642226	1201521	1539104	1572813
Gb0191689	6122	5520	6438	625669	681205	760907	1477363	1824577	1866542
Gb0191666	6087	5405	6264	802775	872758	978313	1918535	2418378	2473662
Gb0191643	6019	5461	6248	599441	642313	725144	1413069	1745037	1786225
Gb0191667	6658	5887	6808	1092788	1063377	1193898	2612039	2920204	2984670
Gb0191646	6559	6382	7439	510985	597756	665180	1157722	1515651	1550150
Gb0191673	6344	5777	6650	717243	767728	857310	1696014	2044366	2092851
Gb0191682	5764	5162	5959	705453	807591	893999	1600046	2066606	2103094
Gb0191660	5803	5243	6000	617018	700923	784245	1450363	1908259	1951462
Gb0191688	5843	5366	6301	457510	530004	590096	1051696	1355145	1383758
Gb0191668	5997	5327	6150	689690	747765	837021	1634803	2044962	2090292
Gb0191676	6202	5613	6461	666988	720541	803378	1550438	1897670	1939141
Gb0191672	6270	5570	6375	1030321	1072289	1206275	2483532	3020993	3088578
Gb0191686	5883	5231	6036	757159	819625	920340	1814241	2270621	2313569
Gb0191675	6470	5718	6616	1258317	1280920	1442989	3066640	3643975	3729703
Gb0191662	6044	5463	6312	618211	688873	774362	1475173	1883418	1925021
Gb0191654	6067	5424	6291	817466	862503	969175	1968939	2402762	2457355
Gb0191648	6586	5900	6778	986600	1057642	1209418	2394645	3023455	3090914
Gb0191649	6417	5661	6525	1229104	1260265	1416545	2940224	3513930	3592390
Gb0191679	7135	6193	7124	2258675	2081789	2349998	5542657	5960432	6100042
Gb0191655	7002	6424	7412	1082043	1077360	1203117	2542978	2871830	2938969
Gb0191663	6706	5911	6758	1543252	1501715	1693107	3769518	4266530	4360320
Gb0191647	6477	5784	6682	987798	1064667	1200207	2384501	2963145	3034365
Gb0191674	6023	5416	6257	685945	742293	832832	1625288	2036026	2082448
Gb0191664	6405	5796	6722	917502	995466	1117392	2162906	2663538	2720922
Gb0191645	6319	5679	6526	1000300	1054981	1188911	2488882	3061071	3126954
Gb0191678	6021	5352	6189	672939	721937	809728	1584331	1966412	2009694
Gb0191690	5891	5281	6071	737455	817891	916956	1763537	2273409	2322421
Gb0191683	6145	5459	6329	925768	981642	1094058	2178856	2653280	2705878
Gb0191680	5818	5221	6054	617990	680450	762724	1453327	1860111	1901649
Gb0191677	6869	6030	6918	1609326	1505835	1689446	3832183	4145167	4236790
Gb0191652	6000	5485	6382	549561	644711	722779	1311499	1739414	1779606
Gb0191653	6448	5740	6587	945127	986414	1110833	2310785	2765738	2831100
Gb0191671	6753	5999	6858	1408770	1340918	1503285	3342950	3685155	3771677
Gb0191681	6597	5848	6761	949483	954555	1068719	2237897	2553180	2610591
