Gold_biosample	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0	"MEGAHIT v. 1.0.6"	"spades v. 3.12.0"	"spades v. 3.13.0"	metaSPAdes v. 3.15.0
ID	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_number	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Total_contigs_size (bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_number(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_size(>500bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_number(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Contigs_size(>1000bp)	Largest_contig_size	Largest_contig_size	Largest_contig_size	Largest_contig_size	auN	auN	auN	auN
Gb0195911		3370877		3540867		1750700138		1926563414		905688		1018604		904913604		1057704390		248053		296088		463177956		570634261		175588		176585		463177956.0		570634261.0
Gb0150429	5200908	6905458		6648852	3249212201	4549703419		4575318954	2283395	2646003		2678041	2138202201	3037638538		3164624832	554124	869595		916559	987024194	1832105772		1965955481	741470	1399086		604913	987024194.0	1832105772.0		1965955481.0
Gb0195871		1978775		2282633		1006349186		1216327955		535968		671873		512157169		660548058		143345		188677		248081624		334741637		69854		56109		248081624.0		334741637.0
Gb0195866		1603775		1891864		813354885		1009331637		431322		554336		411484453		547584454		115799		157195		199199837		279411755		77339		79899		199199837.0		279411755.0
Gb0195877		5398303		5480007		2823375182		2983887576		1459329		1568928		1469048375		1636295668		402566		458985		760380188		889355334		89501		79191		760380188.0		889355334.0
Gb0195882		3156848		3381089		1611810363		1807004322		838218		963986		813949799		972262915		227444		276748		404530395		509749133		77629		80019		404530395.0		509749133.0
Gb0195847		1241700		1514374		618655171		798020679		325442		438708		305423580		426978230		84260		121902		143326057		213277903		80036		80065		143326057.0		213277903.0
Gb0195906		3288776		3435368		1761625510		1929716780		917517		1018535		946914573		1096582464		264362		311211		506785954		618559698		280189		280225		506785954.0		618559698.0
Gb0150423	4965780	4873092		5199835	3126499760	2744763784		3006832731	2228937	1582789		1748656	2085960219	1593280288		1796123605	547661	455831		522679	965239752	832837730		967036699	123389	129333		115898	965239752.0	832837730.0		967036699.0
Gb0195896		2891868		3068773		1472589057		1633442343		746449		846574		737659882		869415285		204310		245007		373913081		464610605		80186		117136		373913081.0		464610605.0
Gb0150427	4925700		6370159	6153792	3071319394		4149675499	4182638566	2174072		2428841	2469409	2023237076		2749711103	2872173344	520904		781284	828731	924278550		1632650417	1756562763	117697		280685	268693	924278550.0		1632650417.0	1756562763.0
Gb0195893		2120093		2426549		1093653445		1310555219		588359		725839		568899199		723945717		161644		208920		281471968		374925263		69998		69998		281471968.0		374925263.0
Gb0195912		3864732		4019756		2038933077		2215690418		1063378		1177990		1076643006		1236116852		298843		348325		562694168		676658159		203977		204635		562694168.0		676658159.0
Gb0195838		3832654		3987447		1928615312		2085882916		969081		1076931		952563607		1089430150		258550		301103		476946649		568400577		83904		93079		476946649.0		568400577.0
Gb0195910		2335557		2639619		1256757557		1487250185		679010		821283		685327122		856727370		197131		247597		360351759		468636846		80008		80008		360351759.0		468636846.0
Gb0195857		2689803		2904859		1355074120		1530350058		692708		807578		673113858		810289622		185547		226338		332847415		419210933		80215		80256		332847415.0		419210933.0
Gb0195855		2658069		2864979		1275444817		1436928461		633917		743834		586850921		710942428		156052		194101		267948950		342876139		72299		108340		267948950.0		342876139.0
Gb0195892		2388083		2677472		1261858513		1483037634		679371		817831		673196285		839156956		192624		242718		345086630		450459387		80272		96927		345086630.0		450459387.0
Gb0195842		1932147		2217055		1051786211		1261235451		563103		690893		581141052		733307459		167417		211833		313903912		409083666		80192		172438		313903912.0		409083666.0
Gb0195841			3512650	3682087			1776877786	1935024518			890926	996457			883096699	1015148342			242330	283760			448308857	536137470			192294	193689			448308857.0	536137470.0
Gb0195886		3054949		3285245		1520325775		1713573893		784269		911272		741916230		895854130		203280		251074		352974812		452103315		72320		62313		352974812.0		452103315.0
