env_local_scale,pathway_name,pathway_id,expr_sum
mineral horizon [ENVO:03600011],ABC transporters [PATH:ko02010],map02010,165613.0909090909
mineral horizon [ENVO:03600011],AGE-RAGE signaling pathway in diabetic complications [PATH:ko04933],map04933,4728.363636363636
mineral horizon [ENVO:03600011],AMPK signaling pathway [PATH:ko04152],map04152,12229.181818181818
mineral horizon [ENVO:03600011],ATP-dependent chromatin remodeling [PATH:ko03082],map03082,3942.181818181818
mineral horizon [ENVO:03600011],Acarbose and validamycin biosynthesis [PATH:ko00525],map00525,2543.7272727272725
mineral horizon [ENVO:03600011],Acute myeloid leukemia [PATH:ko05221],map05221,1326.1818181818182
mineral horizon [ENVO:03600011],Adherens junction [PATH:ko04520],map04520,3862.090909090909
mineral horizon [ENVO:03600011],Adipocytokine signaling pathway [PATH:ko04920],map04920,13799.636363636364
mineral horizon [ENVO:03600011],Adrenergic signaling in cardiomyocytes [PATH:ko04261],map04261,3249.5454545454545
mineral horizon [ENVO:03600011],Aflatoxin biosynthesis [PATH:ko00254],map00254,205.8181818181818
mineral horizon [ENVO:03600011],African trypanosomiasis [PATH:ko05143],map05143,1541.090909090909
mineral horizon [ENVO:03600011],"Alanine, aspartate and glutamate metabolism [PATH:ko00250]",map00250,100758.09090909091
mineral horizon [ENVO:03600011],Alcoholic liver disease [PATH:ko04936],map04936,22810.363636363636
mineral horizon [ENVO:03600011],Alcoholism [PATH:ko05034],map05034,12385.0
mineral horizon [ENVO:03600011],Aldosterone synthesis and secretion [PATH:ko04925],map04925,1555.0
mineral horizon [ENVO:03600011],Aldosterone-regulated sodium reabsorption [PATH:ko04960],map04960,1568.4545454545455
mineral horizon [ENVO:03600011],Alzheimer disease [PATH:ko05010],map05010,54452.27272727273
mineral horizon [ENVO:03600011],Amino acid metabolism,map99985,3119.818181818182
mineral horizon [ENVO:03600011],Amino acid related enzymes [BR:ko01007],map01007,80484.0
mineral horizon [ENVO:03600011],Amino sugar and nucleotide sugar metabolism [PATH:ko00520],map00520,56089.63636363636
mineral horizon [ENVO:03600011],Aminoacyl-tRNA biosynthesis [PATH:ko00970],map00970,43271.63636363636
mineral horizon [ENVO:03600011],Aminobenzoate degradation [PATH:ko00627],map00627,16235.454545454546
mineral horizon [ENVO:03600011],Amoebiasis [PATH:ko05146],map05146,2845.5454545454545
mineral horizon [ENVO:03600011],Amphetamine addiction [PATH:ko05031],map05031,1656.3636363636363
mineral horizon [ENVO:03600011],Amyotrophic lateral sclerosis [PATH:ko05014],map05014,59812.09090909091
mineral horizon [ENVO:03600011],Anthocyanin biosynthesis [PATH:ko00942],map00942,3.5
mineral horizon [ENVO:03600011],Antifolate resistance [PATH:ko01523],map01523,5003.545454545455
mineral horizon [ENVO:03600011],Antigen processing and presentation [PATH:ko04612],map04612,7503.454545454545
mineral horizon [ENVO:03600011],Antimicrobial resistance genes [BR:ko01504],map01504,47783.545454545456
mineral horizon [ENVO:03600011],Apelin signaling pathway [PATH:ko04371],map04371,2668.2727272727275
mineral horizon [ENVO:03600011],Apoptosis - fly [PATH:ko04214],map04214,4956.181818181818
mineral horizon [ENVO:03600011],Apoptosis - multiple species [PATH:ko04215],map04215,3409.181818181818
mineral horizon [ENVO:03600011],Apoptosis [PATH:ko04210],map04210,12739.272727272728
mineral horizon [ENVO:03600011],Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572],map00572,4854.272727272727
mineral horizon [ENVO:03600011],Arachidonic acid metabolism [PATH:ko00590],map00590,551.7272727272727
mineral horizon [ENVO:03600011],Arginine and proline metabolism [PATH:ko00330],map00330,52764.27272727273
mineral horizon [ENVO:03600011],Arginine biosynthesis [PATH:ko00220],map00220,56512.63636363636
mineral horizon [ENVO:03600011],Arrhythmogenic right ventricular cardiomyopathy [PATH:ko05412],map05412,1421.7272727272727
mineral horizon [ENVO:03600011],Ascorbate and aldarate metabolism [PATH:ko00053],map00053,24749.81818181818
mineral horizon [ENVO:03600011],Atrazine degradation [PATH:ko00791],map00791,2043.7272727272727
mineral horizon [ENVO:03600011],Autophagy - animal [PATH:ko04140],map04140,15591.727272727272
mineral horizon [ENVO:03600011],Autophagy - other [PATH:ko04136],map04136,1055.7272727272727
mineral horizon [ENVO:03600011],Autophagy - yeast [PATH:ko04138],map04138,5082.636363636364
mineral horizon [ENVO:03600011],Axon guidance [PATH:ko04360],map04360,3799.0
