biosample_id,taxon,expr_sum
nmdc:bsm-11-042nd237,Acidobacteriota,7300041
nmdc:bsm-11-042nd237,Actinomycetota,2398193
nmdc:bsm-11-042nd237,Annelida,46849
nmdc:bsm-11-042nd237,Apicomplexa,17070
nmdc:bsm-11-042nd237,Aquificota,11600
nmdc:bsm-11-042nd237,Armatimonadota,60237
nmdc:bsm-11-042nd237,Arthropoda,37912
nmdc:bsm-11-042nd237,Ascomycota,133237
nmdc:bsm-11-042nd237,Atribacterota,1987
nmdc:bsm-11-042nd237,Bacillariophyta,2037
nmdc:bsm-11-042nd237,Bacillota,439448
nmdc:bsm-11-042nd237,Bacteroidota,289896
nmdc:bsm-11-042nd237,Balneolota,8574
nmdc:bsm-11-042nd237,Basidiomycota,2388704
nmdc:bsm-11-042nd237,Bdellovibrionota,18981
nmdc:bsm-11-042nd237,Blastocladiomycota,2171
nmdc:bsm-11-042nd237,Caldisericota,301
nmdc:bsm-11-042nd237,Calditrichota,2349
nmdc:bsm-11-042nd237,Campylobacterota,5977
nmdc:bsm-11-042nd237,Candidatus Aerophobetes,2348
nmdc:bsm-11-042nd237,Candidatus Aminicenantes,6159
nmdc:bsm-11-042nd237,Candidatus Bathyarchaeota,967
nmdc:bsm-11-042nd237,Candidatus Berkelbacteria,59
nmdc:bsm-11-042nd237,Candidatus Bipolaricaulota,382
nmdc:bsm-11-042nd237,Candidatus Calescamantes,2281
nmdc:bsm-11-042nd237,Candidatus Cloacimonadota,856
nmdc:bsm-11-042nd237,Candidatus Cryosericota,382
nmdc:bsm-11-042nd237,Candidatus Diapherotrites,167
nmdc:bsm-11-042nd237,Candidatus Fervidibacteria,4809
nmdc:bsm-11-042nd237,Candidatus Gracilibacteria,284
nmdc:bsm-11-042nd237,Candidatus Hydrogenedentes,930
nmdc:bsm-11-042nd237,Candidatus Hydrothermae,17
nmdc:bsm-11-042nd237,Candidatus Korarchaeota,421
nmdc:bsm-11-042nd237,Candidatus Latescibacteria,2972
nmdc:bsm-11-042nd237,Candidatus Lokiarchaeota,78
nmdc:bsm-11-042nd237,Candidatus Marinimicrobia,2413
nmdc:bsm-11-042nd237,Candidatus Melainabacteria,2308
nmdc:bsm-11-042nd237,Candidatus Micrarchaeota,49
nmdc:bsm-11-042nd237,Candidatus Microgenomates,2017
nmdc:bsm-11-042nd237,Candidatus Nanohaloarchaeota,68
nmdc:bsm-11-042nd237,Candidatus Omnitrophota,6013
nmdc:bsm-11-042nd237,Candidatus Parcubacteria,2261
nmdc:bsm-11-042nd237,Candidatus Poribacteria,13077
nmdc:bsm-11-042nd237,Candidatus Saccharibacteria,473
nmdc:bsm-11-042nd237,Candidatus Sumerlaeota,2457
nmdc:bsm-11-042nd237,Candidatus Thermoplasmatota,2471
nmdc:bsm-11-042nd237,Cercozoa,3
nmdc:bsm-11-042nd237,Chlamydiota,6802
nmdc:bsm-11-042nd237,Chlorobiota,6026
nmdc:bsm-11-042nd237,Chloroflexota,348801
