biosample_id,rank,n_metag_taxa,n_metat_taxa,n_shared_taxa,n_metag_only,n_metat_only,jaccard
nmdc:bsm-11-042nd237,kingdom,4,4,4,0,0,1
nmdc:bsm-11-042nd237,phylum,120,125,116,4,9,0.8992248062015504
nmdc:bsm-11-042nd237,class,272,290,269,3,21,0.9180887372013652
nmdc:bsm-11-042nd237,order,524,543,515,9,28,0.9329710144927537
nmdc:bsm-11-042nd237,family,1159,1185,1130,29,55,0.9308072487644151
nmdc:bsm-11-042nd237,genus,4795,4446,4309,486,137,0.8736820762368208
nmdc:bsm-11-042nd237,species,28947,25583,24636,4311,947,0.8241118619120894
nmdc:bsm-11-3p2mnz08,kingdom,4,4,4,0,0,1
nmdc:bsm-11-3p2mnz08,phylum,114,122,111,3,11,0.888
nmdc:bsm-11-3p2mnz08,class,268,287,264,4,23,0.9072164948453608
nmdc:bsm-11-3p2mnz08,order,517,535,508,9,27,0.9338235294117647
nmdc:bsm-11-3p2mnz08,family,1141,1165,1116,25,49,0.9378151260504202
nmdc:bsm-11-3p2mnz08,genus,4733,4360,4225,508,135,0.8679129005751849
nmdc:bsm-11-3p2mnz08,species,28316,23889,23032,5284,857,0.7894971377643711
nmdc:bsm-11-622k6044,kingdom,4,4,4,0,0,1
nmdc:bsm-11-622k6044,phylum,121,123,115,6,8,0.8914728682170543
nmdc:bsm-11-622k6044,class,274,288,268,6,20,0.9115646258503401
nmdc:bsm-11-622k6044,order,526,540,514,12,26,0.9311594202898551
nmdc:bsm-11-622k6044,family,1163,1178,1127,36,51,0.92833607907743
nmdc:bsm-11-622k6044,genus,4824,4430,4289,535,141,0.8638469284994965
nmdc:bsm-11-622k6044,species,28926,24788,23814,5112,974,0.7964548494983278
nmdc:bsm-11-65a4xw75,kingdom,4,4,4,0,0,1
nmdc:bsm-11-65a4xw75,phylum,115,124,113,2,11,0.8968253968253969
nmdc:bsm-11-65a4xw75,class,268,282,262,6,20,0.9097222222222222
nmdc:bsm-11-65a4xw75,order,518,532,505,13,27,0.926605504587156
