biosample_id,spearman_r,p_value,n_taxa
nmdc:bsm-11-042nd237,0.8,0.3333333333333333,4
nmdc:bsm-11-3p2mnz08,0.8,0.3333333333333333,4
nmdc:bsm-11-622k6044,0.8,0.3333333333333333,4
nmdc:bsm-11-65a4xw75,0.8,0.3333333333333333,4
nmdc:bsm-11-6m6c9g55,0.8,0.3333333333333333,4
nmdc:bsm-11-6x067s27,0.8,0.3333333333333333,4
nmdc:bsm-11-71991e79,0.8,0.3333333333333333,4
nmdc:bsm-11-7m09me46,0.8,0.3333333333333333,4
nmdc:bsm-11-7twwzs96,0.8,0.3333333333333333,4
nmdc:bsm-11-8rn9bm20,0.8,0.3333333333333333,4
nmdc:bsm-11-93mc8g67,0.8,0.3333333333333333,4
nmdc:bsm-11-cwey4y35,0.8,0.3333333333333333,4
nmdc:bsm-11-frgt4x11,0.8,0.3333333333333333,4
nmdc:bsm-11-g61cvw79,0.4,0.75,4
nmdc:bsm-11-gk0czc37,1,0.08333333333333333,4
nmdc:bsm-11-gr59rt72,0.4,0.75,4
nmdc:bsm-11-hebdaz02,0.8,0.3333333333333333,4
nmdc:bsm-11-ncyddq48,0.8,0.3333333333333333,4
nmdc:bsm-11-nq2tfm26,0.8,0.3333333333333333,4
nmdc:bsm-11-ssfs1051,0.8,0.3333333333333333,4
nmdc:bsm-11-ve9a4g91,0.4,0.75,4
nmdc:bsm-11-wrvmh591,0.8,0.3333333333333333,4
nmdc:bsm-11-xtz7he28,0.8,0.3333333333333333,4
nmdc:bsm-11-xxvfda22,0.4,0.75,4
