biosample_id,type,name,associated_studies,env_broad_scale,env_local_scale,env_medium,samp_name,collection_date,depth,ecosystem,ecosystem_category,ecosystem_subtype,ecosystem_type,elev,env_package,geo_loc_name,growth_facil,lat_lon,samp_store_temp,specific_ecosystem,store_cond,analysis_type,gold_biosample_identifiers,provenance_metadata,experimental_factor,sample_link
nmdc:bsm-11-042nd237,nmdc:Biosample,BW-C-7-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],forest soil [ENVO:00002261],BW-C-7-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics', 'lipidomics']","['gold:Gb0157193', 'gold:Gb0158505']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:39:00Z'}",,
nmdc:bsm-11-3p2mnz08,nmdc:Biosample,Inc-BW-H-2-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],heat stressed soil [ENVO:00005781],Inc-BW-H-2-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157188'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:40:11Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-127y7152']
nmdc:bsm-11-622k6044,nmdc:Biosample,BW-C-12-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],forest soil [ENVO:00002261],BW-C-12-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics', 'lipidomics']","['gold:Gb0157185', 'gold:Gb0158500']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:41:48Z'}",,
nmdc:bsm-11-65a4xw75,nmdc:Biosample,BW-H-11-M,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],mineral horizon [ENVO:03600011],heat stressed soil [ENVO:00005781],BW-H-11-M,2017-05-24,.02 -.10,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",field_incubation,42.481016 -72.178343,-80 Celsius,Mineral soil,frozen,"['metatranscriptomics', 'metagenomics', 'natural organic matter', 'metaproteomics', 'metabolomics', 'lipidomics']","['gold:Gb0157196', 'gold:Gb0158504']","{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:41:48Z'}",heat stress treatment [MCO:0000172],
nmdc:bsm-11-6m6c9g55,nmdc:Biosample,Inc-BW-H-11-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],heat stressed soil [ENVO:00005781],Inc-BW-H-11-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157181'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:41:48Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-9nx64x91']
nmdc:bsm-11-6x067s27,nmdc:Biosample,Inc-BW-H-4-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],heat stressed soil [ENVO:00005781],Inc-BW-H-4-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157186'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:42:23Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-y52p4f86']
nmdc:bsm-11-71991e79,nmdc:Biosample,Inc-BW-C-19-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],forest soil [ENVO:00002261],Inc-BW-C-19-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157179'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:42:23Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-whgy3b08']
nmdc:bsm-11-7m09me46,nmdc:Biosample,Inc-BW-C-27-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],forest soil [ENVO:00002261],Inc-BW-C-27-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157184'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:42:23Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-m7z9y338']
nmdc:bsm-11-7twwzs96,nmdc:Biosample,Inc-BW-C-30-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],forest soil [ENVO:00002261],Inc-BW-C-30-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157183'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:42:23Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-3n3k2m62']
nmdc:bsm-11-8rn9bm20,nmdc:Biosample,Inc-BW-C-12-O,['nmdc:sty-11-8ws97026'],forest biome [ENVO:01000174],organic horizon [ENVO:03600018],forest soil [ENVO:00002261],Inc-BW-C-12-O,2017-05-24,0 - .02,Environmental,Terrestrial,Temperate forest,Soil,302.0,soil,"USA: Massachusetts, Petersham",lab_incubation,42.481016 -72.178343,-80 Celsius,O horizon/Organic,frozen,"['metagenomics', 'metatranscriptomics']",['gold:Gb0157182'],"{'source_system_of_record': 'NMDC_Submission_Portal', 'type': 'nmdc:ProvenanceMetadata', 'mod_date': '2026-09-09T16:43:32Z'}",dideuterium oxide [CHEBI:41981],['nmdc:bsm-11-pwa2h444']
