bin_oid	Bin ID	Genome Name	IMG Genome ID	Bin Lineage	Bin Methods	Created By	Date Added	Bin Completeness	Bin Contamination	Average Coverage	Total Number of Bases	5s rRNA	18s rRNA	28s rRNA	Scaffold Count
3300080919_69	3300080919_69	Freshwater microbial communities from Caribou Creek NEON Field Site, Chatanika, Alaska, USA - CARI.20230713.EPILITHON.5.DNA-DNA1	3300080919	Eukaryota; Chrysophyceae; Hydrurales; Hydruraceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-12-13	73.91	5.59		31463624	4	0	1	2831
3300079843_84	3300079843_84	Freshwater biofilm microbial communities from McRae Creek NEON Field Site, McKenzie Bridge, Oregon, USA - MCRA.20230719.EPILITHON.7.DNA-DNA1	3300079843	Eukaryota; Chrysophyceae; Hydrurales; Hydruraceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-12-02	58.07	1.86		24420799	3	1	0	3562
3300072277_38	3300072277_38	WREF plot 4 samples	3300072277	Eukaryota; Basidiomycota; Agaricomycetes; Russulales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-22	65.26	0.5		16421972	7	0	0	1419
3300072278_31	3300072278_31	WREF plot 73 samples	3300072278	Eukaryota; Basidiomycota; Agaricomycetes; Russulales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-22	57.07	0		13547401	8	0	0	1412
3300079576_223	3300079576_223	WREF site samples	3300079576	Eukaryota; Ascomycota; Leotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-22	52.26	0.75		12784896	0	0	0	1199
3300079576_487	3300079576_487	WREF site samples	3300079576	Eukaryota; Basidiomycota; Agaricomycetes; Russulales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-22	84.37	0.74		22054583	14	0	0	1041
3300079787_369	3300079787_369	WREF organic layer samples	3300079787	Eukaryota; Basidiomycota; Agaricomycetes; Russulales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-22	69.98	0.74		19927312	14	0	0	1325
3300079787_441	3300079787_441	WREF organic layer samples	3300079787	Eukaryota; Ascomycota; Leotiomycetes	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-22	72.18	0.38		18185860	1	0	0	1646
3300080033_22	3300080033_22	Soil microbial communities from Ordway-Swisher Biological Station NEON Field site, Putman County, Florida, USA - OSBS_031-M-20230712-COMP-DNA1	3300080033	Eukaryota; Ascomycota	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-19	50.66	0		8792982	4	0	0	1016
3300079404_1	3300079404_1	Soil microbial communities from Toolik Field Station NEON Field Site, Alaska, USA - TOOL_001-O-20230719-COMP-DNA1	3300079404	Eukaryota; Basidiomycota; Agaricomycetes; Agaricales	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-16	56.08	3.47		14201734	1	0	0	2027
3300079404_42	3300079404_42	Soil microbial communities from Toolik Field Station NEON Field Site, Alaska, USA - TOOL_001-O-20230719-COMP-DNA1	3300079404	Eukaryota; Ascomycota; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-16	84.59	2.63		30959953	5	0	1	2343
3300079404_47	3300079404_47	Soil microbial communities from Toolik Field Station NEON Field Site, Alaska, USA - TOOL_001-O-20230719-COMP-DNA1	3300079404	Eukaryota; Ascomycota; Leotiomycetes; Helotiales; Hyaloscyphaceae; Hyaloscypha	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-16	52.26	0		19361765	9	0	2	454
3300079868_63	3300079868_63	Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.2.DNA-DNA1	3300079868	Eukaryota; Ascomycota; Eurotiomycetes; Verrucariales; Verrucariaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-16	57.89	0		13559542	12	0	0	2086
3300079868_84	3300079868_84	Freshwater biofilm microbial communities from Martha Creek NEON Field Site, Stabler, Washington, USA - MART.20230725.EPILITHON.2.DNA-DNA1	3300079868	Eukaryota; Ascomycota; Eurotiomycetes; Verrucariales; Verrucariaceae	EukCC version 2.1.2, eukcc2_db_ver_1.2	IMG_PIPELINE	2024-11-16	61.65	7.14		15164062	3	0	0	2808
